"Id";"serie_editie";"serie";"serietekst";"nr";"titel";"auteurs";"editie";"jaar metingen";"jaar van uitgave";"linksonder";"rechtsonder";"uitgever";"Drukker";"schaal";"Stempel TIArchief";"StempelTIKaartenarchief";"StempelBiblPontonniers";"StempelKVGIVU";"StempelKaartenzaal";"Stempel";"opmerkingen";"Fyskenm";"provenance";"aanwezig in ub"
285;"EERSTE DRUK";"4";"Kaart van de rivier de Boven Maas van Vise tot Woudrichem : in vierendertig bladen / opgemeten en vervaardigd door den eersten landmeter bij de Algemeene dienst van den Waterstaat E. Olivier Dz. ; op last van zijne excellentie den minister van Binnenlandsche Zaken, onder directie van den fungerenden Hoofd-Ingenieur en van den Ingenieur in Algemeene Dienst van den Waterstaat L.J.A. van der Kun en R. Musquetier.  – Schaal 1:10.000. - [Delft] : Algemeene Dienst van den Waterstaat, 1849-1856 ([Delft] : Topographisch Bureau en Drukkerij van het Departement van Oorlog). – 1 serie in 38 bladen : lithografie; diverse formaten.";"16";"Broekhuizenvorst";;;"1850";1850,00;;;"['s-Gravenhage : Staatsuitgeverij]";"(Delft  : Ministerie van Oorlog,Topographisch Bureau)";"Schaal 1:10.000";;;;;;;"KZ: etiket  ""Noordelijk Waterstaats Arrondissement  van Overijssel""";;"Nugtger";"Ja"
286;"EERSTE HERZIENING";"4 EN 5";"Maas / [Rijkswaterstaat]. - Schaal 1:10.000. - [Eerste herziening]. - ['s-Gravenhage : Topografische inrichting, 1873-1903]. – 1 serie in 33 bladen : lithografie ; diverse formaten.";"16";"Vierlingsbeek";;;;1900,00;;;;;"Schaal 1:10.000";;;;;;;;;;
287;"EERSTE DRUK";"1";"Kaart van de rivieren de Boven Rijn, de Waal, de Merwede, de Oude en een gedeelte van de Nieuwe Maas van Lobith tot Brielle : in twintig bladen benevens twee supplementaire bladen voor de Dordtsche Kil / vervaardigd op last van zijne excellentie den Minister van Binnenlandse Zaken, onder directie van den Hoofd-Ingenieur bij de Algemeene Dienst van den Waterstaat B.H. Goudriaan. – Schaal 1:10.000. - [Delft] : Algemeene Dienst van den Waterstaat, 1830-1835. ([Delft] : het Bureau en de drukkerij van de Directie der Militaire Verkenningen). -  1 kaartserie, in 27 bladen : lithografie ; diverse formaten.";"17";"Poortugaal";;;"1834";1834,00;;;"['s-Gravenhage : Staatsuitgeverij]";"(Delft : Directie der Militaire Verkenningen)";"Schaal 1:10.000";;;;;;;"KZ: etiket  ""Noordelijk Waterstaats Arrondissement  van Overijssel""";;"Nugter";"Ja"
288;"EERSTE HERZIENING";"1";"Herziene kaart van de rivieren Boven Rijn, Waal, Merwede, Noord, Dordsche Kil, Oude Maas, Spui en Nieuwe Maas / [Rijkswaterstaat]. - Schaal 1:10.000. – [Eerste herziening]. -  ['s-Gravenhage : Topografische Inrichting, 1873-1914]. - 1 serie in 29 bladen : lithografie ; diverse formaten";"17";"Heerjansdam";;;;1878,00;;;;;"Schaal 1:10.000";;;;;;;;;;
289;"EERSTE HERZIENING";"1";"Herziene kaart van de rivieren Boven Rijn, Waal, Merwede, Noord, Dordsche Kil, Oude Maas, Spui en Nieuwe Maas / [Rijkswaterstaat]. - Schaal 1:10.000. – [Eerste herziening]. -  ['s-Gravenhage : Topografische Inrichting, 1873-1914]. - 1 serie in 29 bladen : lithografie ; diverse formaten";"17";"Krimpen a/d Lek";;;;1879,00;;;;;"Schaal 1:10.000";;;;;;;;;;
290;"EERSTE HERZIENING";"1";"Herziene kaart van de rivieren Boven Rijn, Waal, Merwede, Noord, Dordsche Kil, Oude Maas, Spui en Nieuwe Maas / [Rijkswaterstaat]. - Schaal 1:10.000. – [Eerste herziening]. -  ['s-Gravenhage : Topografische Inrichting, 1873-1914]. - 1 serie in 29 bladen : lithografie ; diverse formaten";"17";"Krimpen a/d Lek ";"Gegr door Fred. Kierdorff. Opgemeten door de ambtenaren H. Vierkant en S.J. Negrijn. In kaart gebracht en geteekend door den ambtenaar H.J. van Weezel Errens";"Tweede uitgave";;1907,00;;;;;"Schaal 1:10.000";;;;;;;;;;
291;"TWEEDE HERZIENING";"1";"Bovenrijn, Waal, Boven-en Beneden Merwede, Dordsche Kil, Oude Maas, Noord, Brielsche Nieuwe Maas / [Rijkswaterstaat]. – Schaal 1:10.000. – [Tweede herziening]. - [’s-Gravenhage ; Delft : Topografische Inrichting : Topografische Dienst, 1914-1961]. – 1 serie in 35 bladen : lithografie ; diverse formaten.";"17";"Heinenoord ";;"Derde uitgave";;1954,00;;;;;"Schaal 1:10.000";;;;;;;;;;
292;"EERSTE DRUK";"2";"Kaart van de rivieren de Boven en Neder-Rijn, de Lek en de Nieuwe Maas, van Lobith tot Brielle : in twintig bladen, benevens twee supplementaire bladen voor den Oude-Rijn en voor de Noord / vervaardigd op last van Zijne Excellentie den Minister van Binnenlandsche Zaken, onder directie van den Hoofd-Ingenieur bij de Algemeene Dienst van den Waterstaat B.H. Goudriaan. – Schaal 1:10.000. - [Delft] : Algemeene Dienst van de Waterstaat, 1830-1842. ([Delft] : Topographisch Bureau en Drukkerij van het Deptartement van Oorlog). - 1 serie in 25 bladen : lithografie ; diverse formaten.";"17";"Rotterdam";;;"1834";1834,00;;;"['s-Gravenhage : Staatsuitgeverij]";"(Delft : Departement van Oorlog)";"Schaal 1:10.000";;;;;;;"KZ: etiket  ""Noordelijk Waterstaats Arrondissement  van Overijssel""";;"Nugter";"Ja"
293;"EERSTE HERZIENING";"2";"Boven Rijn, Neder Rijn, Lek, Nieuwe Maas, Scheur en Nieuwe Waterweg / [Rijkswaterstaat]. - Schaal 1:10.000. - [Eerste herziening]. - ['s-Gravenhage : Topografische Inrichting, 1873-1907]. - 1 serie in 32 bladen : lithografie ; verschillende formaten.";"17";"Krimpen aan de Lek";;;;1879,00;;;;;"Schaal 1:10.000";;;;;;;;;;
294;"EERSTE HERZIENING";"2";"Boven Rijn, Neder Rijn, Lek, Nieuwe Maas, Scheur en Nieuwe Waterweg / [Rijkswaterstaat]. - Schaal 1:10.000. - [Eerste herziening]. - ['s-Gravenhage : Topografische Inrichting, 1873-1907]. - 1 serie in 32 bladen : lithografie ; verschillende formaten.";"17";"Krimpen aan de Lek ";"Gegr. door Fred. Kierdorff ; opgemeten door de ambtenaren H. Vierkant en S.J. Negrijn ; in kaart gebracht en geteekend door den ambtenaar H.J. van Weezel Errens";"Tweede uitgave";;1907,00;;;;;"Schaal 1:10.000";;;;;;;;;;
295;"TWEEDE HERZIENING";"2";"Pannerdensch Kanaal, Neder-Rijn, Lek, Nieuwe Maas, Scheur, Nieuwe Waterweg / [Rijkswaterstaat]. – Schaal 1:5.000 / 1:10.000. – [Tweede herziening]. - [’s-Gravenhage : Staatsdrukkerij, 1914-1961] (’s-Gravenhage ; Delft : Topografische Inrichting : Topografische Dienst). – 1 serie in 31 bladen : lithografie ; diverse formaten.";"17";"Kralingsche Veer ";"Karteering Rijkswaterstaat Algemeene Dienst";"Vierde uitgave";"1934-1935";1936,00;;;"'s-Gravenhage : Rijksuitgeverij";"(Delft  : Reproductie: Top. Dienst)";"Schaal 1:5.000";;;;;"Bibliotheek Kaartenzaal Vrije Universiteit";;"Foto-Litho, in kleur";;;"Ja"
296;"TWEEDE HERZIENING";"3";"Afgedamde Maas, Boven- en Beneden-Merwede, Bergsche Maas, Amer, Biesbosch, Hollandsch Diep, Haringvliet en gedeelte Volkerak / [Rijkswaterstaat]. –[’s-Gravenhage : Staatsdrukkerij, 1933-1960] (Delft : Topografische Dienst). – 1 serie in 53 bladen : lithografie ; diverse formaten.";"17";"Sambeek ";;"Derde uitgave";;1955,00;;;;;"Schaal 1:10.000";;;;;;;;;;
297;"EERSTE DRUK";"3";"Kaart van de rivier de Ijssel van Westervoort tot Kampen : in twintig bladen benevens twee supplementaire bladen / vervaardigd op last van Zijne Excellentie den Minister van Binnenlandsche Zaken, onder directie van den fungerenden Hoofd-Ingenieur en van den Ingenieur bij de Algemeene Dienst van den Waterstaat L.J.A. van der Kun en R. Musquetier. – Schaal 1:10.000. - [Delft : Algemeene Dienst van den Waterstaat, 1840-1846] ([Delft] : Topographisch Bureau, Ministerie van Oorlog). – 1 serie in 27 bladen : lithografie ; diverse formaten.";"17";"Mastenbroek.";;;;;;;"['s-Gravenhage : Staatsuitgeverij]";"(Delft  : Ministerie van Oorlog,Topographisch Bureau)";"Schaal 1:10.000";;;;;;;;;"Nugter";"Ja"
298;"EERSTE DRUK";"4";"Kaart van de rivier de Boven Maas van Vise tot Woudrichem : in vierendertig bladen / opgemeten en vervaardigd door den eersten landmeter bij de Algemeene dienst van den Waterstaat E. Olivier Dz. ; op last van zijne excellentie den minister van Binnenlandsche Zaken, onder directie van den fungerenden Hoofd-Ingenieur en van den Ingenieur in Algemeene Dienst van den Waterstaat L.J.A. van der Kun en R. Musquetier.  – Schaal 1:10.000. - [Delft] : Algemeene Dienst van den Waterstaat, 1849-1856 ([Delft] : Topographisch Bureau en Drukkerij van het Departement van Oorlog). – 1 serie in 38 bladen : lithografie; diverse formaten.";"17";"Geijsteren";;;"1850";1850,00;;;"['s-Gravenhage : Staatsuitgeverij]";"(Delft  : Ministerie van Oorlog,Topographisch Bureau)";"Schaal 1:10.000";;;;;;;"RO in handschrift: Ontvangen bij missive dd. 6 Augustus 1855 No. 1485/1. -  KZ: etiket  ""Noordelijk Waterstaats Arrondissement  van Overijssel""";"Scheurtjes L en R";"Nugter";"Ja"
299;"EERSTE HERZIENING";"4 EN 5";"Maas / [Rijkswaterstaat]. - Schaal 1:10.000. - [Eerste herziening]. - ['s-Gravenhage : Topografische inrichting, 1873-1903]. – 1 serie in 33 bladen : lithografie ; diverse formaten.";"17";"Sambeek";;;;1900,00;;;;;"Schaal 1:10.000";;;;;;;;;;
300;"EERSTE DRUK";"1";"Kaart van de rivieren de Boven Rijn, de Waal, de Merwede, de Oude en een gedeelte van de Nieuwe Maas van Lobith tot Brielle : in twintig bladen benevens twee supplementaire bladen voor de Dordtsche Kil / vervaardigd op last van zijne excellentie den Minister van Binnenlandse Zaken, onder directie van den Hoofd-Ingenieur bij de Algemeene Dienst van den Waterstaat B.H. Goudriaan. – Schaal 1:10.000. - [Delft] : Algemeene Dienst van den Waterstaat, 1830-1835. ([Delft] : het Bureau en de drukkerij van de Directie der Militaire Verkenningen). -  1 kaartserie, in 27 bladen : lithografie ; diverse formaten.";"18";"Vlaardingen";;;"1834";1834,00;;;"['s-Gravenhage : Staatsuitgeverij]";"(Delft : Directie der Militaire Verkenningen)";"Schaal 1:10.000";"Topographische Inrichting Archief";"Topographische Inrichting Kaartenarchief";;;;;"Op linnen";;"Nugter";"Ja"
301;"EERSTE HERZIENING";"1";"Herziene kaart van de rivieren Boven Rijn, Waal, Merwede, Noord, Dordsche Kil, Oude Maas, Spui en Nieuwe Maas / [Rijkswaterstaat]. - Schaal 1:10.000. – [Eerste herziening]. -  ['s-Gravenhage : Topografische Inrichting, 1873-1914]. - 1 serie in 29 bladen : lithografie ; diverse formaten";"18";"Heinenoord";;;;1879,00;;;;;"Schaal 1:10.000";;;;;;;;;;
302;"EERSTE HERZIENING";"1";"Herziene kaart van de rivieren Boven Rijn, Waal, Merwede, Noord, Dordsche Kil, Oude Maas, Spui en Nieuwe Maas / [Rijkswaterstaat]. - Schaal 1:10.000. – [Eerste herziening]. -  ['s-Gravenhage : Topografische Inrichting, 1873-1914]. - 1 serie in 29 bladen : lithografie ; diverse formaten";"18";"Moerdijk";;;;1885,00;;;;;"Schaal 1:10.000";;;;;;;;;;
303;"TWEEDE HERZIENING";"1";"Bovenrijn, Waal, Boven-en Beneden Merwede, Dordsche Kil, Oude Maas, Noord, Brielsche Nieuwe Maas / [Rijkswaterstaat]. – Schaal 1:10.000. – [Tweede herziening]. - [’s-Gravenhage ; Delft : Topografische Inrichting : Topografische Dienst, 1914-1961]. – 1 serie in 35 bladen : lithografie ; diverse formaten.";"18";"Spijkenisse ";;"Derde uitgave";;1950,00;;;;;"Schaal 1:10.000";;;;;;;;;;
304;"EERSTE DRUK";"2";"Kaart van de rivieren de Boven en Neder-Rijn, de Lek en de Nieuwe Maas, van Lobith tot Brielle : in twintig bladen, benevens twee supplementaire bladen voor den Oude-Rijn en voor de Noord / vervaardigd op last van Zijne Excellentie den Minister van Binnenlandsche Zaken, onder directie van den Hoofd-Ingenieur bij de Algemeene Dienst van den Waterstaat B.H. Goudriaan. – Schaal 1:10.000. - [Delft] : Algemeene Dienst van de Waterstaat, 1830-1842. ([Delft] : Topographisch Bureau en Drukkerij van het Deptartement van Oorlog). - 1 serie in 25 bladen : lithografie ; diverse formaten.";"18";"Vlaardingen";;;"1834";1834,00;;;"['s-Gravenhage : Staatsuitgeverij]";"(Delft : Departement van Oorlog)";"Schaal 1:10.000";;;;;;;;;"Nugter";"Ja"
305;"EERSTE HERZIENING";"2";"Boven Rijn, Neder Rijn, Lek, Nieuwe Maas, Scheur en Nieuwe Waterweg / [Rijkswaterstaat]. - Schaal 1:10.000. - [Eerste herziening]. - ['s-Gravenhage : Topografische Inrichting, 1873-1907]. - 1 serie in 32 bladen : lithografie ; verschillende formaten.";"18";"Rotterdam";;;;1880,00;;;;;"Schaal 1:10.000";;;;;;;;;;
306;"EERSTE HERZIENING";"2";"Boven Rijn, Neder Rijn, Lek, Nieuwe Maas, Scheur en Nieuwe Waterweg / [Rijkswaterstaat]. - Schaal 1:10.000. - [Eerste herziening]. - ['s-Gravenhage : Topografische Inrichting, 1873-1907]. - 1 serie in 32 bladen : lithografie ; verschillende formaten.";"18";"Rotterdam ";"Gegr.  oor Fred. Kierdorff ; opgemeten door den Ambtenaar H. Vierkant ; in kaart gebracht en geteekend door den Ambtenaar S.J. Negrijn";"Tweede uitgave";;1904,00;;;;;"Schaal 1:10.000";;;;;;;;;;
307;"TWEEDE HERZIENING";"2";"Pannerdensch Kanaal, Neder-Rijn, Lek, Nieuwe Maas, Scheur, Nieuwe Waterweg / [Rijkswaterstaat]. – Schaal 1:5.000 / 1:10.000. – [Tweede herziening]. - [’s-Gravenhage : Staatsdrukkerij, 1914-1961] (’s-Gravenhage ; Delft : Topografische Inrichting : Topografische Dienst). – 1 serie in 31 bladen : lithografie ; diverse formaten.";"18";"Rotterdam ";"Karteering Rijkswaterstaat Algemeene Dienst";"Vierde uitgave";"1934-1935";1936,00;;;"'s-Gravenhage : Rijksuitgeverij";"(Delft  : Reproductie: Top. Dienst)";"Schaal 1:5.000";;;;;"Bibliotheek Kaartenzaal Vrije Universiteit";;"Foto-Litho, in kleur";;;"Ja"
308;"EERSTE DRUK";"3";"Kaart van de rivier de Ijssel van Westervoort tot Kampen : in twintig bladen benevens twee supplementaire bladen / vervaardigd op last van Zijne Excellentie den Minister van Binnenlandsche Zaken, onder directie van den fungerenden Hoofd-Ingenieur en van den Ingenieur bij de Algemeene Dienst van den Waterstaat L.J.A. van der Kun en R. Musquetier. – Schaal 1:10.000. - [Delft : Algemeene Dienst van den Waterstaat, 1840-1846] ([Delft] : Topographisch Bureau, Ministerie van Oorlog). – 1 serie in 27 bladen : lithografie ; diverse formaten.";"18";"Genemuiden";;;"1845, 1847";1847,00;;;"['s-Gravenhage : Staatsuitgeverij]";"(Delft  : Ministerie van Oorlog,Topographisch Bureau)";"Schaal 1:10.000";;;;;;;;;"Nugter";"Ja"
309;"TWEEDE HERZIENING";"3";"Afgedamde Maas, Boven- en Beneden-Merwede, Bergsche Maas, Amer, Biesbosch, Hollandsch Diep, Haringvliet en gedeelte Volkerak / [Rijkswaterstaat]. –[’s-Gravenhage : Staatsdrukkerij, 1933-1960] (Delft : Topografische Dienst). – 1 serie in 53 bladen : lithografie ; diverse formaten.";"18";"Gennep ";;"Derde uitgave";;1952,00;;;;;"Schaal 1:10.000";;;;;;;;;;
310;"EERSTE DRUK";"4";"Kaart van de rivier de Boven Maas van Vise tot Woudrichem : in vierendertig bladen / opgemeten en vervaardigd door den eersten landmeter bij de Algemeene dienst van den Waterstaat E. Olivier Dz. ; op last van zijne excellentie den minister van Binnenlandsche Zaken, onder directie van den fungerenden Hoofd-Ingenieur en van den Ingenieur in Algemeene Dienst van den Waterstaat L.J.A. van der Kun en R. Musquetier.  – Schaal 1:10.000. - [Delft] : Algemeene Dienst van den Waterstaat, 1849-1856 ([Delft] : Topographisch Bureau en Drukkerij van het Departement van Oorlog). – 1 serie in 38 bladen : lithografie; diverse formaten.";"18";"Vierlingsbeek";;;"1850";1850,00;;;"['s-Gravenhage : Staatsuitgeverij]";"(Delft  : Ministerie van Oorlog,Topographisch Bureau)";"Schaal 1:10.000";;;;"Kaartenverzameling Geografisch Instituut Vrije Universiteit";;;"RO in handschrift: Ontvangen bij missive dd. 6 Augustus 1855 No. 1485/1. -  KZ: etiket  ""Noordelijk Waterstaats Arrondissement  van Overijssel""";"Scheur MB";"Nugter";"Ja"
311;"EERSTE HERZIENING";"4 EN 5";"Maas / [Rijkswaterstaat]. - Schaal 1:10.000. - [Eerste herziening]. - ['s-Gravenhage : Topografische inrichting, 1873-1903]. – 1 serie in 33 bladen : lithografie ; diverse formaten.";"18";"Beugen";"Opgemeten door de Ambtenaar E. Vierkant ; In kaart gebracht en geteekend door den Ambtenaar H.I. van Weexel-Errens ; Gegr. Door Fred Kierdorff";;"1896-1898";1899,00;;;"['s-Gravenhage : Staatsuitgeverij]";"(Delft  : Topographische inrichting)";"Schaal 1:10.000";;;;"Kaartenverzameling Geografisch Instituut Vrije Universiteit";;;;;;"Ja"
312;"EERSTE DRUK";"1";"Kaart van de rivieren de Boven Rijn, de Waal, de Merwede, de Oude en een gedeelte van de Nieuwe Maas van Lobith tot Brielle : in twintig bladen benevens twee supplementaire bladen voor de Dordtsche Kil / vervaardigd op last van zijne excellentie den Minister van Binnenlandse Zaken, onder directie van den Hoofd-Ingenieur bij de Algemeene Dienst van den Waterstaat B.H. Goudriaan. – Schaal 1:10.000. - [Delft] : Algemeene Dienst van den Waterstaat, 1830-1835. ([Delft] : het Bureau en de drukkerij van de Directie der Militaire Verkenningen). -  1 kaartserie, in 27 bladen : lithografie ; diverse formaten.";"19";"Maassluis";;;"1835";1835,00;;;"['s-Gravenhage : Staatsuitgeverij]";"(Delft : Directie der Militaire Verkenningen)";"Schaal 1:10.000";"Topographische Inrichting Archief";"Topographische Inrichting Kaartenarchief";"Bibliotheek van het Korps Pontonniers";;;;"Op linnen";;"Nugter";"Ja"
313;"EERSTE HERZIENING";"1";"Herziene kaart van de rivieren Boven Rijn, Waal, Merwede, Noord, Dordsche Kil, Oude Maas, Spui en Nieuwe Maas / [Rijkswaterstaat]. - Schaal 1:10.000. – [Eerste herziening]. -  ['s-Gravenhage : Topografische Inrichting, 1873-1914]. - 1 serie in 29 bladen : lithografie ; diverse formaten";"19";"Poortugaal";;;;1880,00;;;;;"Schaal 1:10.000";;;;;;;;;;
314;"TWEEDE HERZIENING";"1";"Bovenrijn, Waal, Boven-en Beneden Merwede, Dordsche Kil, Oude Maas, Noord, Brielsche Nieuwe Maas / [Rijkswaterstaat]. – Schaal 1:10.000. – [Tweede herziening]. - [’s-Gravenhage ; Delft : Topografische Inrichting : Topografische Dienst, 1914-1961]. – 1 serie in 35 bladen : lithografie ; diverse formaten.";"19";"Hoogvliet ";;"Derde uitgave";;1942,00;;;;;"Schaal 1:10.000";;;;;;;;;;
315;"EERSTE DRUK";"2";"Kaart van de rivieren de Boven en Neder-Rijn, de Lek en de Nieuwe Maas, van Lobith tot Brielle : in twintig bladen, benevens twee supplementaire bladen voor den Oude-Rijn en voor de Noord / vervaardigd op last van Zijne Excellentie den Minister van Binnenlandsche Zaken, onder directie van den Hoofd-Ingenieur bij de Algemeene Dienst van den Waterstaat B.H. Goudriaan. – Schaal 1:10.000. - [Delft] : Algemeene Dienst van de Waterstaat, 1830-1842. ([Delft] : Topographisch Bureau en Drukkerij van het Deptartement van Oorlog). - 1 serie in 25 bladen : lithografie ; diverse formaten.";"19";"Maassluis";;;"1835";1835,00;;;"['s-Gravenhage : Staatsuitgeverij]";"(Delft : Departement van Oorlog)";"Schaal 1:10.000";;;;;;;;;"Nugter";"Ja"
316;"EERSTE HERZIENING";"2";"Boven Rijn, Neder Rijn, Lek, Nieuwe Maas, Scheur en Nieuwe Waterweg / [Rijkswaterstaat]. - Schaal 1:10.000. - [Eerste herziening]. - ['s-Gravenhage : Topografische Inrichting, 1873-1907]. - 1 serie in 32 bladen : lithografie ; verschillende formaten.";"19";"Vlaardingen";;;;1881,00;;;;;"Schaal 1:10.000";;;;;;;;;;
317;"EERSTE HERZIENING";"2";"Boven Rijn, Neder Rijn, Lek, Nieuwe Maas, Scheur en Nieuwe Waterweg / [Rijkswaterstaat]. - Schaal 1:10.000. - [Eerste herziening]. - ['s-Gravenhage : Topografische Inrichting, 1873-1907]. - 1 serie in 32 bladen : lithografie ; verschillende formaten.";"19";"Vlaardingen";"Gegr. door Fred. Kierhoff ; opgemeten door de ambtenaren H. en K. Vierkant ; in kaart gebracht en geteekend door den ambtenaar H. van der Schalk";"Tweede uitgave";;1906,00;;;;;"Schaal 1:10.000";;;;;;;;;;
318;"TWEEDE HERZIENING";"2";"Pannerdensch Kanaal, Neder-Rijn, Lek, Nieuwe Maas, Scheur, Nieuwe Waterweg / [Rijkswaterstaat]. – Schaal 1:5.000 / 1:10.000. – [Tweede herziening]. - [’s-Gravenhage : Staatsdrukkerij, 1914-1961] (’s-Gravenhage ; Delft : Topografische Inrichting : Topografische Dienst). – 1 serie in 31 bladen : lithografie ; diverse formaten.";"19";"Delfshaven ";"Karteering Rijkswaterstaat Algemeene Dienst";"Vierde uitgave";"1934-1935";1936,00;;;"'s-Gravenhage : Rijksuitgeverij";"(Delft  : Reproductie: Top. Dienst)";"Schaal 1:5.000";;;;;;;"Foto-Litho, in kleur";;;"Ja"
319;"EERSTE DRUK";"3";"Kaart van de rivier de Ijssel van Westervoort tot Kampen : in twintig bladen benevens twee supplementaire bladen / vervaardigd op last van Zijne Excellentie den Minister van Binnenlandsche Zaken, onder directie van den fungerenden Hoofd-Ingenieur en van den Ingenieur bij de Algemeene Dienst van den Waterstaat L.J.A. van der Kun en R. Musquetier. – Schaal 1:10.000. - [Delft : Algemeene Dienst van den Waterstaat, 1840-1846] ([Delft] : Topographisch Bureau, Ministerie van Oorlog). – 1 serie in 27 bladen : lithografie ; diverse formaten.";"19";"Zwartsluis";;;"1844";1844,00;;;"['s-Gravenhage : Staatsuitgeverij]";"(Delft  : Ministerie van Oorlog,Topographisch Bureau)";"Schaal 1:10.000";;;;;;;;;"Nugter";"Ja"
320;"TWEEDE HERZIENING";"3";"Afgedamde Maas, Boven- en Beneden-Merwede, Bergsche Maas, Amer, Biesbosch, Hollandsch Diep, Haringvliet en gedeelte Volkerak / [Rijkswaterstaat]. –[’s-Gravenhage : Staatsdrukkerij, 1933-1960] (Delft : Topografische Dienst). – 1 serie in 53 bladen : lithografie ; diverse formaten.";"19";"Mook ";;"Derde uitgave";;1949,00;;;;;"Schaal 1:10.000";;;;;;;;;;
321;"EERSTE DRUK";"4";"Kaart van de rivier de Boven Maas van Vise tot Woudrichem : in vierendertig bladen / opgemeten en vervaardigd door den eersten landmeter bij de Algemeene dienst van den Waterstaat E. Olivier Dz. ; op last van zijne excellentie den minister van Binnenlandsche Zaken, onder directie van den fungerenden Hoofd-Ingenieur en van den Ingenieur in Algemeene Dienst van den Waterstaat L.J.A. van der Kun en R. Musquetier.  – Schaal 1:10.000. - [Delft] : Algemeene Dienst van den Waterstaat, 1849-1856 ([Delft] : Topographisch Bureau en Drukkerij van het Departement van Oorlog). – 1 serie in 38 bladen : lithografie; diverse formaten.";"19";"Sambeek";;;"1850";1850,00;;;"['s-Gravenhage : Staatsuitgeverij]";"(Delft  : Ministerie van Oorlog,Topographisch Bureau)";"Schaal 1:10.000";;;;;;;"KZ: etiket  ""Noordelijk Waterstaats Arrondissement  van Overijssel""";;"Nugter";"Ja"
